127.0.0.1 - - [08/Jan/2018:14:01:52 -0700] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:01:52 -0700] "GET /MVCProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:01:52 -0700] "GET /MVCProject/app/appModule/app.module.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:01:52 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.js HTTP/1.1" 200 1348
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:01:52 -0700] "GET /MVCProject/css/app.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:01:52 -0700] "GET /MVCProject/app/appModule/todo.service.js HTTP/1.1" 200 775
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:01:53 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.html HTTP/1.1" 200 1763
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:01:58 -0700] "GET /MVCProject/rest/user/1/todos HTTP/1.1" 200 1113
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:02:11 -0700] "GET /MVCProject/ HTTP/1.1" 200 593
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:02:12 -0700] "GET /MVCProject/app/appModule/app.module.js HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:02:12 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.js HTTP/1.1" 200 1348
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:02:12 -0700] "GET /MVCProject/css/app.css HTTP/1.1" 200 300
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:02:12 -0700] "GET /MVCProject/app/appModule/todo.service.js HTTP/1.1" 200 775
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:02:12 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.html HTTP/1.1" 200 1763
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:02:12 -0700] "GET /MVCProject/rest/user/1/todos HTTP/1.1" 200 1113
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:02:18 -0700] "PUT /MVCProject/rest/user/1/todos/15 HTTP/1.1" 201 167
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:02:18 -0700] "GET /MVCProject/rest/user/1/todos HTTP/1.1" 200 1114
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:02:19 -0700] "PUT /MVCProject/rest/user/1/todos/19 HTTP/1.1" 201 172
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:02:19 -0700] "GET /MVCProject/rest/user/1/todos HTTP/1.1" 200 1115
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:02:20 -0700] "PUT /MVCProject/rest/user/1/todos/6 HTTP/1.1" 201 164
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:02:20 -0700] "GET /MVCProject/rest/user/1/todos HTTP/1.1" 200 1116
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:02:20 -0700] "PUT /MVCProject/rest/user/1/todos/6 HTTP/1.1" 201 163
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:02:20 -0700] "GET /MVCProject/rest/user/1/todos HTTP/1.1" 200 1115
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:02:21 -0700] "PUT /MVCProject/rest/user/1/todos/7 HTTP/1.1" 201 166
